TCGA-2A-A8VL-01	0	0	2887	9029
TCGA-2A-A8VO-01	1	0	2496	341
TCGA-2A-A8VT-01	1	0	3706	27855
TCGA-2A-A8VV-01	1	0	3420	19893
TCGA-2A-A8W1-01	1	0	2590	110
TCGA-2A-A8W3-01	1	0	2742	644
TCGA-CH-5737-01	1	0	2848	586
TCGA-CH-5738-01	1	0	3988	915
TCGA-CH-5739-01	1	0	3488	24442
TCGA-CH-5740-01	1	0	2169	14888
TCGA-CH-5741-01	1	0	2812	31118
TCGA-CH-5743-01	1	0	4318	1802
TCGA-CH-5744-01	1	0	6599	42119
TCGA-CH-5746-01	1	0	5122	20360
TCGA-CH-5748-01	1	0	3666	302
TCGA-CH-5750-01	1	0	2396	347
TCGA-CH-5751-01	1	0	2924	858
TCGA-CH-5752-01	1	0	4834	30570
TCGA-CH-5753-01	1	0	3961	334
TCGA-CH-5754-01	1	0	7038	35297
TCGA-CH-5761-01	1	0	3696	981
TCGA-CH-5762-01	1	0	2895	537
TCGA-CH-5763-01	1	0	2504	660
TCGA-CH-5764-01	1	0	1522	13266
TCGA-CH-5765-01	1	0	4118	38807
TCGA-CH-5766-01	1	0	3911	7585
TCGA-CH-5767-01	1	0	3699	336
TCGA-CH-5768-01	1	0	4638	33385
TCGA-CH-5769-01	1	0	2850	10690
TCGA-CH-5771-01	1	0	5620	1739
TCGA-CH-5772-01	1	0	1468	465
TCGA-CH-5788-01	1	0	1965	176
TCGA-CH-5789-01	1	0	2479	3044
TCGA-CH-5790-01	1	0	2922	24057
TCGA-CH-5791-01	1	0	1928	12823
TCGA-CH-5792-01	1	0	4848	1492
TCGA-CH-5794-01	1	0	3421	33580
TCGA-EJ-5494-01	1	0	2630	552
TCGA-EJ-5495-01	1	0	3723	15561
TCGA-EJ-5496-01	1	0	2612	33707
TCGA-EJ-5497-01	1	0	2994	17146
TCGA-EJ-5498-01	1	0	1661	11456
TCGA-EJ-5499-01	1	0	2618	16480
TCGA-EJ-5501-01	1	0	5724	658
TCGA-EJ-5502-01	1	0	6081	14211
TCGA-EJ-5503-01	1	0	5822	5958
TCGA-EJ-5504-01	1	0	2098	940
TCGA-EJ-5505-01	1	0	3346	331
TCGA-EJ-5506-01	1	0	4061	2736
TCGA-EJ-5507-01	1	0	3200	27107
TCGA-EJ-5508-01	1	0	2806	11661
TCGA-EJ-5509-01	1	0	5208	1293
TCGA-EJ-5510-01	1	0	3493	739
TCGA-EJ-5511-01	1	0	8067	950
TCGA-EJ-5512-01	1	0	2062	8147
TCGA-EJ-5514-01	1	0	3362	1185
TCGA-EJ-5515-01	1	0	3141	415
TCGA-EJ-5516-01	1	0	2363	24677
TCGA-EJ-5517-01	1	0	3004	728
TCGA-EJ-5518-01	1	0	4508	2616
TCGA-EJ-5519-01	1	0	4242	1226
TCGA-EJ-5521-01	1	0	3123	23598
TCGA-EJ-5522-01	1	0	4901	35211
TCGA-EJ-5524-01	1	0	3076	28003
TCGA-EJ-5525-01	1	0	1856	10774
TCGA-EJ-5526-01	1	0	4675	29403
TCGA-EJ-5527-01	1	0	4124	23428
TCGA-EJ-5530-01	1	0	5244	44405
TCGA-EJ-5531-01	1	0	2401	553
TCGA-EJ-5532-01	1	0	3908	803
TCGA-EJ-5542-01	1	0	3744	29061
TCGA-EJ-7115-01	1	0	3004	768
TCGA-EJ-7123-01	1	0	4204	746
TCGA-EJ-7125-01	1	0	2797	488
TCGA-EJ-7218-01	1	0	4149	395
TCGA-EJ-7314-01	1	0	3341	6909
TCGA-EJ-7315-01	1	0	3274	17605
TCGA-EJ-7317-01	1	0	2673	425
TCGA-EJ-7318-01	1	0	3114	339
TCGA-EJ-7321-01	1	0	3313	40049
TCGA-EJ-7327-01	1	0	5121	30094
TCGA-EJ-7328-01	1	0	4449	16511
TCGA-EJ-7330-01	1	0	4294	914
TCGA-EJ-7331-01	1	0	4160	994
TCGA-EJ-7781-01	1	0	4335	528
TCGA-EJ-7782-01	1	0	5241	951
TCGA-EJ-7783-01	1	0	5937	29582
TCGA-EJ-7784-01	1	0	4766	22581
TCGA-EJ-7785-01	1	0	5400	38234
TCGA-EJ-7786-01	1	0	3720	562
TCGA-EJ-7788-01	1	0	4173	1079
TCGA-EJ-7789-01	1	0	4509	510
TCGA-EJ-7791-01	1	0	5060	1794
TCGA-EJ-7792-01	1	0	3768	1340
